epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.388,1.38403,2.1455,1.36529,1.13521,0.84397,0.74286,0.81314,0.53606,0.84726,0.74205,0.81046,0.52048,1.19359,1.74335,0.94098,1.09227,0.000663755,0.000663755,0.000663755
2,269.011,1.15033,1.65085,0.8117,1.01497,0.83431,0.74533,0.81289,0.5202,0.838,0.74766,0.81131,0.50007,1.23154,1.98363,0.84204,1.10648,0.00132164,0.00132164,0.00132164
3,399.324,1.1369,1.62285,0.7775,1.01283,0.85178,0.75198,0.82177,0.5459,0.85514,0.75496,0.82155,0.53323,1.17836,1.69849,0.81921,1.08568,0.00197073,0.00197073,0.00197073
4,530.056,1.11393,1.57368,0.74171,1.00329,0.86695,0.77487,0.84768,0.58824,0.869,0.77512,0.84529,0.57171,1.0669,1.59825,0.72661,1.05986,0.0019604,0.0019604,0.0019604
5,660.486,1.09152,1.534,0.71411,0.99777,0.87167,0.77895,0.85204,0.58684,0.87426,0.78127,0.85114,0.57593,1.07734,1.61081,0.70902,1.06307,0.0019472,0.0019472,0.0019472
6,792.161,1.07092,1.51722,0.69715,0.99202,0.85386,0.76176,0.83601,0.55949,0.85694,0.76791,0.8386,0.54033,1.15826,1.79993,0.76562,1.09615,0.001934,0.001934,0.001934
7,922.98,1.07693,1.51443,0.68821,0.99172,0.86884,0.76475,0.84272,0.55043,0.8715,0.7671,0.84331,0.5387,1.17011,1.67712,0.73362,1.10164,0.0019208,0.0019208,0.0019208
8,1054.01,1.05016,1.46762,0.66107,0.98294,0.87611,0.78423,0.85553,0.58186,0.87944,0.78341,0.85436,0.56248,1.11478,1.60179,0.68561,1.07937,0.0019076,0.0019076,0.0019076
9,1184.83,1.05196,1.48048,0.6686,0.98557,0.88938,0.79272,0.86514,0.6121,0.88993,0.79322,0.86263,0.59215,1.04143,1.53943,0.65517,1.04136,0.0018944,0.0018944,0.0018944
10,1316.53,1.03929,1.45364,0.65269,0.98136,0.87768,0.79139,0.85974,0.59931,0.87868,0.79449,0.85925,0.58623,1.07161,1.5507,0.66478,1.05037,0.0018812,0.0018812,0.0018812
11,1445.93,1.03658,1.4594,0.64834,0.97997,0.87667,0.79224,0.85848,0.58142,0.87935,0.794,0.85714,0.54958,1.12574,1.73822,0.67914,1.07931,0.001868,0.001868,0.001868
12,1576.59,1.04387,1.46402,0.64804,0.98047,0.88157,0.7828,0.85598,0.59984,0.88455,0.78064,0.85272,0.57457,1.06661,1.64874,0.66057,1.05567,0.0018548,0.0018548,0.0018548
13,1706.64,1.03021,1.4429,0.63844,0.9777,0.87033,0.77735,0.85054,0.58509,0.8752,0.77775,0.84975,0.57365,1.10373,1.61333,0.68694,1.07296,0.0018416,0.0018416,0.0018416
14,1838.11,1.01649,1.41505,0.62939,0.97537,0.86393,0.78093,0.85148,0.59324,0.86867,0.78372,0.85178,0.57375,1.05873,1.59863,0.67966,1.05906,0.0018284,0.0018284,0.0018284
15,1969.73,1.02059,1.43581,0.6299,0.97524,0.87948,0.79307,0.86408,0.61029,0.88236,0.79431,0.86288,0.59428,1.0505,1.5432,0.64453,1.04454,0.0018152,0.0018152,0.0018152
16,2100.05,1.01606,1.42639,0.62942,0.97513,0.87418,0.77957,0.85325,0.60161,0.87782,0.78174,0.85269,0.58391,1.05227,1.54835,0.67055,1.05463,0.001802,0.001802,0.001802
17,2231.24,1.01184,1.41228,0.61908,0.97245,0.88375,0.78875,0.86287,0.60087,0.88638,0.79037,0.86101,0.57861,1.07671,1.55711,0.65122,1.06457,0.0017888,0.0017888,0.0017888
18,2361.78,1.01012,1.40343,0.61806,0.9718,0.88328,0.79361,0.86264,0.61377,0.8857,0.79449,0.86187,0.59879,1.03431,1.53144,0.63633,1.0429,0.0017756,0.0017756,0.0017756
19,2492.12,0.9981,1.38943,0.61007,0.968,0.88409,0.80477,0.86994,0.60718,0.88744,0.80505,0.86864,0.58671,1.06573,1.52867,0.63078,1.05783,0.0017624,0.0017624,0.0017624
20,2622.36,1.00044,1.39631,0.60994,0.96797,0.8864,0.78727,0.86433,0.59468,0.89203,0.78985,0.86551,0.57586,1.10566,1.55964,0.64857,1.07397,0.0017492,0.0017492,0.0017492
21,2753.44,1.00254,1.38598,0.60846,0.96666,0.88015,0.79449,0.86402,0.60945,0.88444,0.79897,0.86566,0.59888,1.04117,1.52963,0.65299,1.05013,0.001736,0.001736,0.001736
22,2884.68,0.99517,1.38602,0.60777,0.96587,0.87684,0.79629,0.86311,0.59764,0.88088,0.79942,0.86468,0.57188,1.08199,1.62437,0.64406,1.06839,0.0017228,0.0017228,0.0017228
23,3016.34,1.00322,1.39049,0.60647,0.96876,0.88165,0.80537,0.87181,0.61726,0.88486,0.80964,0.87261,0.60124,1.03641,1.51129,0.62053,1.04981,0.0017096,0.0017096,0.0017096
24,3145.61,0.98936,1.37557,0.59767,0.96404,0.886,0.80974,0.87562,0.61726,0.8886,0.81326,0.87556,0.59604,1.05399,1.54156,0.61191,1.04595,0.0016964,0.0016964,0.0016964
25,3276.46,0.99179,1.38388,0.6012,0.96606,0.89262,0.80001,0.87058,0.62548,0.89441,0.80085,0.86824,0.60091,1.00389,1.5048,0.61954,1.03503,0.0016832,0.0016832,0.0016832
26,3407.89,0.98369,1.36398,0.59212,0.96153,0.87986,0.80938,0.87446,0.6051,0.88364,0.8136,0.87591,0.58432,1.08306,1.52928,0.62607,1.06363,0.00167,0.00167,0.00167
27,3538.78,0.98636,1.36812,0.59586,0.96376,0.87823,0.8104,0.87334,0.61321,0.88191,0.81463,0.87388,0.5894,1.05573,1.5517,0.63633,1.04802,0.0016568,0.0016568,0.0016568
28,3669.72,0.97891,1.35972,0.58935,0.96036,0.88092,0.8066,0.87147,0.60585,0.88414,0.81015,0.87227,0.58429,1.07274,1.53291,0.62865,1.05945,0.0016436,0.0016436,0.0016436
