epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4648,1.88592,1.63123,1.32754,0.81881,0.72484,0.79986,0.40076,1.63542,1.14138,1.29126,0.000663755,0.000663755,0.000663755
2,92.6564,1.69506,1.01498,1.22095,0.84493,0.75577,0.83757,0.43395,1.60942,1.00351,1.29158,0.00132164,0.00132164,0.00132164
3,135.687,1.67956,0.97711,1.21895,0.79866,0.7039,0.78281,0.36754,1.71922,1.10172,1.3438,0.00197073,0.00197073,0.00197073
4,178.029,1.65131,0.93688,1.20572,0.84362,0.73766,0.83195,0.41707,1.70242,0.95424,1.32549,0.0019604,0.0019604,0.0019604
5,220.737,1.63573,0.91542,1.19767,0.80761,0.70002,0.78128,0.37379,1.70444,1.06475,1.321,0.0019472,0.0019472,0.0019472
6,262.939,1.61555,0.8911,1.19131,0.86339,0.75436,0.84116,0.3994,1.77028,0.93055,1.33736,0.001934,0.001934,0.001934
7,305.765,1.61279,0.88597,1.18875,0.84666,0.75081,0.83645,0.41966,1.68727,0.94405,1.33738,0.0019208,0.0019208,0.0019208
8,347.548,1.59453,0.85833,1.18068,0.86366,0.74763,0.84112,0.38125,1.84666,0.94183,1.39692,0.0019076,0.0019076,0.0019076
9,389.814,1.5946,0.8574,1.1804,0.88031,0.77964,0.86677,0.46689,1.58269,0.836,1.25425,0.0018944,0.0018944,0.0018944
10,432.041,1.58356,0.84358,1.17584,0.88102,0.79212,0.87725,0.48414,1.54211,0.82652,1.25405,0.0018812,0.0018812,0.0018812
11,474.412,1.58715,0.83564,1.1787,0.85109,0.74663,0.83687,0.43004,1.64976,0.94016,1.31031,0.001868,0.001868,0.001868
12,516.478,1.57998,0.83344,1.17253,0.87925,0.78062,0.86518,0.46621,1.60289,0.83499,1.27096,0.0018548,0.0018548,0.0018548
13,558.803,1.57445,0.82633,1.16971,0.88244,0.78427,0.87331,0.46677,1.58747,0.84498,1.26834,0.0018416,0.0018416,0.0018416
14,600.723,1.56313,0.81838,1.17005,0.88458,0.79672,0.87495,0.47614,1.58542,0.809,1.27954,0.0018284,0.0018284,0.0018284
15,642.726,1.56226,0.81763,1.16831,0.86823,0.75802,0.85344,0.43293,1.66994,0.88462,1.31537,0.0018152,0.0018152,0.0018152
16,684.317,1.55792,0.81158,1.16805,0.88264,0.79198,0.87606,0.47704,1.56659,0.81064,1.27313,0.001802,0.001802,0.001802
17,726.31,1.55631,0.80663,1.16524,0.89323,0.7962,0.87894,0.47312,1.58958,0.79908,1.28431,0.0017888,0.0017888,0.0017888
18,768.364,1.55673,0.80528,1.16668,0.89017,0.80023,0.88333,0.46684,1.61502,0.82663,1.28711,0.0017756,0.0017756,0.0017756
19,810.454,1.54093,0.79183,1.1587,0.89526,0.79356,0.88312,0.47734,1.58438,0.81954,1.28626,0.0017624,0.0017624,0.0017624
