epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7953,1.87931,1.49901,1.3372,0.83042,0.73716,0.81218,0.41583,1.62047,1.08005,1.31204,0.000663755,0.000663755,0.000663755
2,83.5663,1.68398,0.9951,1.22179,0.82324,0.71791,0.80477,0.38721,1.74777,1.03854,1.3329,0.00132164,0.00132164,0.00132164
3,121.833,1.67502,0.96203,1.22266,0.85779,0.76359,0.84206,0.42853,1.6773,0.95591,1.29264,0.00197073,0.00197073,0.00197073
4,160.701,1.64646,0.92975,1.20776,0.85684,0.73922,0.83658,0.41857,1.6884,0.9524,1.3358,0.0019604,0.0019604,0.0019604
5,200.424,1.63292,0.91166,1.20364,0.83195,0.76032,0.83642,0.4098,1.64775,1.03303,1.30565,0.0019472,0.0019472,0.0019472
6,238.45,1.61186,0.87954,1.19601,0.86984,0.76765,0.85432,0.43889,1.67796,0.86619,1.315,0.001934,0.001934,0.001934
7,276.703,1.606,0.8713,1.1918,0.87373,0.77031,0.86208,0.444,1.66024,0.8717,1.3253,0.0019208,0.0019208,0.0019208
8,314.956,1.59021,0.84648,1.18328,0.88112,0.75775,0.85001,0.46408,1.58373,0.89016,1.30072,0.0019076,0.0019076,0.0019076
9,353.367,1.58664,0.84468,1.18493,0.88158,0.7778,0.86338,0.46961,1.57436,0.8493,1.27952,0.0018944,0.0018944,0.0018944
10,391.917,1.57614,0.83375,1.17945,0.88468,0.77836,0.86821,0.46191,1.57078,0.84782,1.30118,0.0018812,0.0018812,0.0018812
11,430.597,1.57669,0.82622,1.18154,0.87345,0.79275,0.87155,0.44213,1.67189,0.86346,1.32631,0.001868,0.001868,0.001868
12,468.959,1.57346,0.82792,1.17465,0.89165,0.7883,0.87459,0.46973,1.59656,0.80853,1.29373,0.0018548,0.0018548,0.0018548
13,507.308,1.56878,0.82273,1.17333,0.86668,0.75403,0.84299,0.44001,1.6084,0.86882,1.32234,0.0018416,0.0018416,0.0018416
14,545.452,1.56076,0.80853,1.17594,0.88022,0.79597,0.8781,0.48354,1.54411,0.81398,1.27045,0.0018284,0.0018284,0.0018284
15,583.439,1.55543,0.80732,1.1706,0.88763,0.789,0.8754,0.4522,1.67176,0.82476,1.33295,0.0018152,0.0018152,0.0018152
16,621.917,1.5543,0.8041,1.17376,0.87061,0.75754,0.85315,0.44913,1.63431,0.86558,1.3146,0.001802,0.001802,0.001802
