epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.177,1.91301,1.66288,1.34659,0.79914,0.68277,0.76845,0.38989,1.68473,1.17309,1.33907,0.000663755,0.000663755,0.000663755
2,91.4886,1.71461,1.04997,1.23033,0.83762,0.72146,0.80979,0.42751,1.64007,1.03377,1.32295,0.00132164,0.00132164,0.00132164
3,133.792,1.6992,1.00783,1.22996,0.78973,0.64321,0.73997,0.37981,1.64743,1.14846,1.32065,0.00197073,0.00197073,0.00197073
4,176.336,1.67235,0.96949,1.2164,0.83188,0.73472,0.81899,0.40525,1.68303,0.9918,1.32439,0.0019604,0.0019604,0.0019604
5,219.256,1.65293,0.94291,1.2079,0.84572,0.73699,0.81738,0.40916,1.70909,1.04322,1.35389,0.0019472,0.0019472,0.0019472
6,261.188,1.63914,0.92035,1.20477,0.8252,0.72667,0.80499,0.37321,1.78075,0.96833,1.33723,0.001934,0.001934,0.001934
7,303.116,1.63399,0.9109,1.199,0.86264,0.72676,0.83014,0.44927,1.5664,0.966,1.28908,0.0019208,0.0019208,0.0019208
8,345.195,1.60981,0.8832,1.18862,0.86737,0.74997,0.83957,0.43021,1.67824,0.91479,1.30133,0.0019076,0.0019076,0.0019076
9,386.779,1.60941,0.88258,1.18817,0.86134,0.73792,0.82757,0.42464,1.658,0.95608,1.31226,0.0018944,0.0018944,0.0018944
10,428.322,1.6002,0.86851,1.18548,0.87167,0.72325,0.82922,0.45811,1.55194,0.95123,1.27825,0.0018812,0.0018812,0.0018812
11,470.062,1.59932,0.85802,1.18368,0.87939,0.78456,0.86365,0.44559,1.6159,0.86801,1.29688,0.001868,0.001868,0.001868
12,511.578,1.59778,0.85845,1.18125,0.85874,0.74577,0.82745,0.42347,1.68528,0.89586,1.33657,0.0018548,0.0018548,0.0018548
13,553.087,1.58856,0.84697,1.17743,0.88273,0.77594,0.86492,0.47533,1.54755,0.81223,1.26847,0.0018416,0.0018416,0.0018416
14,594.418,1.58001,0.83877,1.18003,0.88493,0.78316,0.86433,0.45535,1.63567,0.817,1.31047,0.0018284,0.0018284,0.0018284
15,636.701,1.58028,0.84332,1.17717,0.84926,0.75721,0.84108,0.46218,1.55041,0.89776,1.27928,0.0018152,0.0018152,0.0018152
16,678.915,1.5755,0.83682,1.17658,0.87734,0.77149,0.85979,0.44798,1.60369,0.88144,1.28555,0.001802,0.001802,0.001802
17,720.57,1.56844,0.82344,1.17171,0.88776,0.79937,0.87474,0.4608,1.61295,0.81577,1.30242,0.0017888,0.0017888,0.0017888
18,761.922,1.57065,0.82883,1.17258,0.88874,0.78859,0.87381,0.47091,1.57687,0.80695,1.26912,0.0017756,0.0017756,0.0017756
19,803.597,1.55536,0.81395,1.16558,0.88564,0.80055,0.88045,0.47363,1.58012,0.8313,1.27995,0.0017624,0.0017624,0.0017624
20,845.424,1.55592,0.80963,1.16662,0.88703,0.80084,0.88119,0.48133,1.54696,0.80758,1.26212,0.0017492,0.0017492,0.0017492
21,887.054,1.5572,0.81348,1.16258,0.88839,0.79207,0.87601,0.4602,1.60164,0.8522,1.27811,0.001736,0.001736,0.001736
22,928.813,1.55313,0.80893,1.16189,0.89305,0.77601,0.86823,0.47092,1.57407,0.83245,1.26722,0.0017228,0.0017228,0.0017228
23,970.561,1.55388,0.80974,1.16515,0.87766,0.78493,0.86705,0.45961,1.579,0.82912,1.27314,0.0017096,0.0017096,0.0017096
24,1012.57,1.54747,0.80144,1.15945,0.8775,0.78488,0.86774,0.46311,1.59552,0.84213,1.27797,0.0016964,0.0016964,0.0016964
25,1053.92,1.54607,0.80092,1.16105,0.89186,0.79601,0.87521,0.46521,1.61408,0.79328,1.29871,0.0016832,0.0016832,0.0016832
26,1095.54,1.5432,0.79579,1.15602,0.89906,0.79651,0.88222,0.48566,1.55925,0.76808,1.25432,0.00167,0.00167,0.00167
27,1137.13,1.54402,0.79482,1.16014,0.90044,0.80642,0.88745,0.48156,1.58276,0.78751,1.27164,0.0016568,0.0016568,0.0016568
28,1178.9,1.53178,0.788,1.15186,0.90236,0.80446,0.88494,0.48379,1.54245,0.79143,1.26508,0.0016436,0.0016436,0.0016436
29,1220.48,1.53743,0.79128,1.15813,0.89521,0.8017,0.88051,0.46415,1.60886,0.81566,1.28793,0.0016304,0.0016304,0.0016304
30,1262.06,1.53584,0.79153,1.15818,0.90747,0.80893,0.8883,0.4646,1.61239,0.76994,1.27997,0.0016172,0.0016172,0.0016172
31,1303.49,1.52552,0.7838,1.15396,0.89414,0.81139,0.88598,0.4755,1.59158,0.76796,1.29221,0.001604,0.001604,0.001604
32,1345.93,1.52552,0.7797,1.15147,0.87736,0.76277,0.8495,0.45112,1.5594,0.89844,1.24742,0.0015908,0.0015908,0.0015908
33,1387.08,1.52663,0.78144,1.15154,0.90516,0.81047,0.89046,0.48694,1.54677,0.76574,1.24857,0.0015776,0.0015776,0.0015776
34,1429.08,1.52374,0.78153,1.15254,0.89597,0.81002,0.88867,0.47986,1.55049,0.82777,1.25182,0.0015644,0.0015644,0.0015644
35,1470.89,1.5251,0.77886,1.15409,0.89681,0.81139,0.8881,0.4817,1.55292,0.79133,1.25696,0.0015512,0.0015512,0.0015512
36,1512.33,1.5226,0.77836,1.15122,0.90373,0.80402,0.88643,0.45028,1.65831,0.80988,1.30001,0.001538,0.001538,0.001538
37,1553.38,1.5272,0.778,1.15183,0.90131,0.79141,0.87672,0.4623,1.6193,0.79133,1.27983,0.0015248,0.0015248,0.0015248
38,1594.78,1.5127,0.76958,1.1436,0.90608,0.81376,0.89188,0.47401,1.59581,0.77348,1.27926,0.0015116,0.0015116,0.0015116
39,1636.16,1.51413,0.76995,1.14584,0.9006,0.80536,0.88507,0.46792,1.60403,0.77938,1.29589,0.0014984,0.0014984,0.0014984
40,1677.87,1.50865,0.76619,1.14158,0.90521,0.80097,0.88551,0.47792,1.55394,0.79652,1.25138,0.0014852,0.0014852,0.0014852
41,1719.65,1.501,0.75924,1.14381,0.89726,0.81138,0.88642,0.47066,1.58615,0.79508,1.28011,0.001472,0.001472,0.001472
42,1761.26,1.50921,0.76103,1.14505,0.90026,0.81316,0.89216,0.47829,1.58206,0.77598,1.27116,0.0014588,0.0014588,0.0014588
43,1803.04,1.51124,0.76588,1.14395,0.9039,0.81173,0.89179,0.49158,1.5264,0.76375,1.24373,0.0014456,0.0014456,0.0014456
44,1844.59,1.50843,0.76404,1.14449,0.90636,0.80492,0.88913,0.48451,1.55382,0.77253,1.26495,0.0014324,0.0014324,0.0014324
