epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.608,1.91301,1.66288,1.34659,0.11535,0.10779,0.0533,0.01951,2.82353,6.16788,1.95227,0.000663755,0.000663755,0.000663755
2,102.877,1.71461,1.04997,1.23033,0.0586,0.09455,0.02532,0.00824,3.28727,11.1436,2.37169,0.00132164,0.00132164,0.00132164
3,151.057,1.6992,1.00783,1.22996,0.08733,0.12136,0.04122,0.01649,2.94027,7.95436,2.11065,0.00197073,0.00197073,0.00197073
4,197.93,1.67235,0.96949,1.2164,0.12871,0.18838,0.08851,0.03286,2.62725,4.34511,2.00611,0.0019604,0.0019604,0.0019604
5,244.829,1.65293,0.94291,1.2079,0.09666,0.15066,0.05207,0.02035,2.74896,7.67118,2.0218,0.0019472,0.0019472,0.0019472
6,289.274,1.63914,0.92035,1.20477,0.27421,0.25373,0.20105,0.08014,2.36112,2.88126,1.74262,0.001934,0.001934,0.001934
7,332.593,1.63399,0.9109,1.199,0.33352,0.21774,0.19746,0.07924,2.52666,2.57965,2.00737,0.0019208,0.0019208,0.0019208
8,375.983,1.60981,0.8832,1.18862,0.3782,0.31538,0.29021,0.12085,2.26556,2.17426,1.67231,0.0019076,0.0019076,0.0019076
9,420.282,1.60941,0.88258,1.18817,0.35532,0.2812,0.26039,0.10821,2.27839,2.1617,1.83526,0.0018944,0.0018944,0.0018944
10,463.194,1.6002,0.86851,1.18548,0.35204,0.21673,0.20544,0.08619,2.39913,2.35151,1.63036,0.0018812,0.0018812,0.0018812
11,506.466,1.59932,0.85802,1.18368,0.34664,0.32377,0.27292,0.10964,2.31406,2.47457,1.70527,0.001868,0.001868,0.001868
12,550.364,1.59778,0.85845,1.18125,0.43183,0.36556,0.35669,0.1627,2.06376,1.953,1.63642,0.0018548,0.0018548,0.0018548
13,593.891,1.58856,0.84697,1.17743,0.44364,0.37097,0.35703,0.16506,2.09229,1.94258,1.64947,0.0018416,0.0018416,0.0018416
14,637.502,1.58001,0.83877,1.18003,0.41453,0.38445,0.35752,0.16467,2.04769,2.1513,1.58215,0.0018284,0.0018284,0.0018284
15,681.654,1.58028,0.84332,1.17717,0.33059,0.28814,0.24326,0.10937,2.17264,2.39794,1.74709,0.0018152,0.0018152,0.0018152
16,724.181,1.5755,0.83682,1.17658,0.66941,0.54916,0.59884,0.29317,1.884,1.40259,1.46338,0.001802,0.001802,0.001802
17,767.558,1.56844,0.82344,1.17171,0.44177,0.3595,0.35044,0.14885,2.18885,2.22771,1.60649,0.0017888,0.0017888,0.0017888
18,809.981,1.57065,0.82883,1.17258,0.47409,0.3373,0.3543,0.15397,2.16667,1.92528,1.52994,0.0017756,0.0017756,0.0017756
